ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ
XXXX  XXX XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X
2021   32  -0.30  -0.35  -0.39  -1.43  -3.27  -4.53  -4.65  -3.14  -4.59  -0.89  -0.32  -0.31
2022   32  -0.30  -0.35  -0.40  -1.48  -3.38  -4.68  -4.80  -3.24  -4.73  -0.91  -0.32  -0.31
2023   32  -0.31  -0.36  -0.41  -1.52  -3.48  -4.82  -4.95  -3.34  -4.88  -0.93  -0.33  -0.31
2019   33   0.00   0.00   0.00   0.00   0.00 -43.19 -45.59 -48.18 -41.14 -15.88  -6.29  -5.40
2020   33  -7.85  -6.32 -13.00 -22.17 -32.75 -44.60 -47.09 -49.76 -42.48 -16.33  -6.39  -5.47
2021   33  -8.01  -6.42 -13.33 -22.81 -33.75 -46.01 -48.59 -51.35 -43.81 -16.77  -6.49  -5.54
2022   33  -8.16  -6.52 -13.66 -23.46 -34.76 -47.42 -50.08 -52.94 -45.15 -17.21  -6.59  -5.61
2023   33  -8.31  -6.62 -13.99 -24.10 -35.76 -48.84 -51.58 -54.53 -46.49 -17.66  -6.69  -5.68
2019   37   0.00   0.00   0.00   0.00   0.00  18.30  18.37  18.30  18.75  18.75  17.92  18.65
2020   37  18.70  18.67  18.64  18.36  18.57  17.95  18.02  17.95  18.40  18.40  17.57  18.30
2021   37  18.36  18.32  18.29  18.01  18.22  17.59  17.67  17.60  18.05  18.05  17.22  17.95
2022   37  18.01  17.97  17.94  17.66  17.87  17.25  17.33  17.25  17.69  17.69  16.87  17.60
2023   37  17.67  17.63  17.60  17.32  17.52  16.90  16.97  16.90  17.33  17.33  16.51  17.24
2019   37   0.00   0.00   0.00   0.00   0.00 -54.52 -55.57 -55.62 -52.76 -48.09 -58.46 -47.37
2020   37 -49.46 -47.41 -48.23 -54.26 -48.87 -54.69 -55.74 -55.79 -52.93 -48.28 -58.63 -47.56
2021   37 -49.64 -47.60 -48.41 -54.43 -49.05 -54.86 -55.91 -55.96 -53.11 -48.46 -58.79 -47.75
2022   37 -49.82 -47.78 -48.60 -54.60 -49.24 -55.03 -56.08 -56.12 -53.29 -48.65 -58.95 -47.93
2023   37 -50.00 -47.97 -48.78 -54.77 -49.42 -55.20 -56.25 -56.29 -53.46 -48.84 -59.12 -48.12
2019   38   0.00   0.00   0.00   0.00   0.00  -8.82 -10.02  -9.61  -9.41  -3.83  -9.72  -1.32
2020   38  -4.10  -1.32  -2.03  -6.88  -4.58  -9.02 -10.25  -9.83  -9.63  -3.91  -9.94  -1.34
