NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  86 FCMAX    70.00  4 2018  8 2020                                                                                                                                                                     
  86 GTMIN  0000.00  3 2018  4 2018                                                                                                                                                                     
  86 FCMAX     0.00  9 2020 11 2020                                                                                                                                                                     
  86 FCMAX   100.00 12 2020                                                                                                                                                                             
  86 IPTER     0.00  1 2020  8 2020                                                                                                                                                                     
  86 IPTER    70.00  9 2020 11 2020                                                                                                                                                                     
  86 IPTER     0.00 12 2020 12 2020                                                                                                                                                                     
 146 POTEF    41.40  1 2020          STA VITORIA                                                                                                                                                        
 217 POTEF   134.25  1 2018 12 2019  T LAGOAS_L1                                                                                                                                                        
 218 POTEF   215.75  1 2018 12 2019  T LAGOAS_L13                                                                                                                                                       
 194 POTEF   340.00  1 2018          T.NORTE 2                                                                                                                                                          
 194 FCMAX     0.00  1 2018                                                                                                                                                                             
 223 POTEF    50.00  3 2021          TERMOIRAPE I                                                                                                                                                       
  90 POTEF   928.70  1 2018          TERMOMACAE                                                                                                                                                         
  47 POTEF  1036.00  1 2020          TERMORIO                                                                                                                                                           
  47 GTMIN  0100.50  1 2020                                                                                                                                                                             
 215 POTEF   770.33  1 2018 12 2019  TERMORIO_L1                                                                                                                                                        
 215 GTMIN  0074.73  1 2018  4 2018                                                                                                                                                                     
 215 GTMIN  0074.73  5 2018  9 2018                                                                                                                                                                     
 215 GTMIN  0074.73 10 2018  4 2019                                                                                                                                                                     
 215 GTMIN  0074.73  5 2019 12 2019                                                                                                                                                                     
 216 POTEF   265.67  1 2018 12 2019  TERMORIO_L13                                                                                                                                                       
 216 GTMIN  0025.77  1 2018  4 2018                                                                                                                                                                     
 216 GTMIN  0025.77  5 2018  9 2018                                                                                                                                                                     
 216 GTMIN  0025.77 10 2018  4 2019                                                                                                                                                                     
 216 GTMIN  0025.77  5 2019 12 2019                                                                                                                                                                     
  68 POTEF   350.00  1 2020          TRES LAGOAS                                                                                                                                                        
  19 POTEF    10.00  1 2018          UTE BRASILIA                                                                                                                                                       
  19 FCMAX     0.00  1 2018                                                                                                                                                                             
  49 POTEF   174.60  1 2018          VIANA                                                                                                                                                              
  34 POTEF   206.35  1 2018          W.ARJONA                                                                                                                                                           
  34 FCMAX     0.00  1 2018                                                                                                                                                                             
 108 POTEF    53.58  1 2018          XAVANTES                                                                                                                                                           
  48 POTEF   484.50  1 2018          ARAUCARIA                                                                                                                                                          
  48 FCMAX     0.00  1 2018                                                                                                                                                                             
 156 POTEF   350.00  1 2018          CANDIOTA 3                                                                                                                                                         
 156 FCMAX    71.43  1 2018  5 2018                                                                                                                                                                     
 156 FCMAX    91.43  6 2018                                                                                                                                                                             
 156 GTMIN   159.01  1 2018  1 2018                                                                                                                                                                     
 156 GTMIN   189.59  2 2018  5 2018                                                                                                                                                                     
 156 GTMIN  0210.00  9 2018 10 2018                                                                                                                                                                     
 156 GTMIN  0210.00 11 2018  3 2019                                                                                                                                                                     
 156 GTMIN  0210.00  4 2019  5 2019                                                                                                                                                                     
 156 GTMIN   164.39  7 2019  7 2019                                                                                                                                                                     
 156 GTMIN  0210.00  8 2019  5 2020                                                                                                                                                                     
 156 IPTER     0.00  1 2019  5 2019                                                                                                                                                                     
