EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
42CGTF            42FORTALEZA         3 02042018  14    110.69                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01032018   5     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01042018   4     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01052018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01062018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01072018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01092018   4     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01102018   5     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01112018   4     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          1 01122018   5     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          2 01032018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          2 01042018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          2 01052018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          2 01062018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          2 01082018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          2 01092018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          2 01102018   5     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          2 01122018   5     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01032018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01042018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01052018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01062018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01072018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01082018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01092018   4     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01102018   5     34.72                                                                                                                                          
