NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  25 GTMIN   160.00 12 2023 12 2023
  24 POTEF   363.00  6 2019 12 2023
  24 FCMAX    92.29  6 2019 12 2023
  24 GTMIN   296.00  6 2019 12 2019
  24 GTMIN   244.37  1 2020  1 2020
  24 GTMIN     0.00  2 2020  3 2020
  24 GTMIN   244.37  4 2020  1 2021
  24 GTMIN     0.00  2 2021  3 2021
  24 GTMIN   244.37  4 2021  1 2022
  24 GTMIN     0.00  2 2022  3 2022
  24 GTMIN   244.37  4 2022  1 2023
  24 GTMIN   244.37  4 2023 12 2023
 107 POTEF   345.00  8 2019 12 2023
 107 GTMIN   170.00  8 2019 12 2023
  35 POTEF   639.90  6 2019 12 2023
  35 FCMAX     0.00  6 2019 12 2023
 109 POTEF    13.12  6 2019 12 2023
 109 FCMAX     0.00  6 2019  7 2020
 109 FCMAX   100.00  8 2020 12 2023
 111 POTEF    11.48  6 2019 12 2023
 111 FCMAX     0.00  6 2019  7 2020
 111 FCMAX   100.00  8 2020 12 2023
 112 POTEF    30.97  6 2019 12 2023
 113 POTEF    11.48  6 2019 12 2023
 113 FCMAX     0.00  6 2019  7 2020
 113 FCMAX   100.00  8 2020 12 2023
 235 POTEF   143.08 11 2020 12 2023
  52 POTEF   169.08  6 2019 12 2023
 117 POTEF    13.12  6 2019 12 2023
 117 FCMAX     0.00  6 2019  7 2020
 117 FCMAX   100.00  8 2020 12 2023
 119 POTEF    14.76  6 2019 12 2023
 119 FCMAX     0.00  6 2019  7 2020
 119 FCMAX   100.00  8 2020 12 2023
 121 POTEF    13.12  6 2019 12 2023
 121 FCMAX     0.00  6 2019  7 2020
 121 FCMAX   100.00  8 2020 12 2023
 125 POTEF    14.76  6 2019 12 2023
 125 FCMAX     0.00  6 2019  7 2020
 125 FCMAX   100.00  8 2020 12 2023
  74 POTEF   120.00  6 2019 12 2023
  74 FCMAX    22.25  6 2019 12 2023
  42 POTEF   326.60  6 2019 12 2023
  42 GTMIN   223.00  1 2020 12 2023
  53 POTEF   148.80  6 2019 12 2023
  53 IPTER     0.00  1 2020  2 2020
  53 IPTER     2.26  3 2020  3 2020
  53 IPTER     2.33  4 2020  4 2020
